Grado del polinomio , Tiempo Estandar, Tiempo Honer 
10,148316,149230
20,145654,144872
30,143053,142957
40,141583,139795
50,143770,140638
60,145070,141631
70,144186,141090
80,147400,141917
90,153213,144478
100,152666,141600
110,156683,144895
120,158746,144364
130,160263,144500
140,170726,143888
150,166312,142764
160,177897,155866
170,175399,153587
180,177296,143793
190,179930,144050
200,182437,143917
210,187709,144663
220,191978,145051
230,203738,151299
240,225507,163786
250,239281,168715
260,249207,172553
270,255678,172600
280,259629,170754
290,266780,171051
300,318428,199926
310,302599,185708
320,300870,185125
330,299270,180527
340,271119,157239
350,299219,174193
360,320320,180781
370,352407,195253
380,387030,208263
390,360671,189016
400,355464,181414
410,330190,165144
420,350128,170288
430,404073,189501
440,432065,197353
450,397852,177690
460,398438,172004
470,362602,154374
480,446445,183101
490,476317,192839
500,448104,176175
510,436210,168320
520,439687,168055
530,518931,189142
540,486334,171447
550,473152,165434
560,517551,179742
570,528343,176326
580,524510,170525
590,522101,166153
600,573879,181364
610,567767,175235
620,562498,168800
630,596431,174696
640,596648,172086
650,607520,171551
660,625994,173062
670,626983,168167
680,666500,176067
690,665313,173351
700,677877,173194
710,690747,171373
720,704629,169072
730,721994,170976
740,738836,174192
750,810241,191282
760,770291,171224
770,780960,169471
780,803934,174774
790,814190,172808
800,830993,171880
810,845321,169337
820,862533,170098
830,880589,176732
840,890392,168642
850,905762,171099
860,925360,169821
870,944032,172642
880,952379,169422
890,976857,167761
900,995532,170388
910,1009102,169020
920,1160981,214819
930,1297199,235946
940,1201522,209829
950,1151261,180319
960,1101300,168205
970,1125903,172792
980,1140769,171315
990,1161898,169733
1000,1178084,170026
